PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Brier
0.43168090329284603,0.624111338715508,0.8255813953488372,0.3463414634146341,0.4879725085910653,0.6466302367941712,0.20493048429489136
0.4809384279867862,0.7016959798994975,0.8375,0.3582887700534759,0.50187265917603,0.6607495069033531,0.1849234402179718
0.522750739705978,0.7204145728643215,0.9125,0.3526570048309179,0.5087108013937283,0.6925996204933587,0.1822746992111206
0.579957654934922,0.6921944035346097,0.8556701030927835,0.4088669950738916,0.5533333333333333,0.7021996615905245,0.20958968997001648
0.40185027189101385,0.6338113025665741,0.8488372093023255,0.35960591133004927,0.5051903114186851,0.6672760511882998,0.20647069811820984
0.4641088085613302,0.6225083570632661,0.7926829268292683,0.33163265306122447,0.4676258992805755,0.6202290076335878,0.19620612263679504
0.5206251037439336,0.7085689697565771,0.891566265060241,0.35406698564593303,0.5068493150684932,0.6839186691312384,0.1878524273633957
0.4279608115539193,0.6766044061302681,0.8850574712643678,0.3811881188118812,0.532871972318339,0.7,0.20373961329460144
0.5477357654476639,0.74428391959799,0.925,0.3557692307692308,0.5138888888888888,0.7007575757575758,0.17968907952308655
0.4037188969724096,0.6394303797468355,0.8734177215189873,0.3415841584158416,0.49110320284697506,0.666023166023166,0.1947856843471527
0.41291831969199544,0.6365405260332796,0.8194444444444444,0.28780487804878047,0.4259927797833935,0.5983772819472617,0.18131272494792938
0.4248345489747412,0.6332278481012658,0.8481012658227848,0.3284313725490196,0.4734982332155477,0.6442307692307693,0.19358260929584503
0.48230527676544943,0.6358648210500062,0.8148148148148148,0.3316582914572864,0.4714285714285714,0.6309751434034416,0.194175586104393
0.340336308155675,0.6267259056732741,0.8428571428571429,0.28365384615384615,0.4244604316546763,0.6045081967213115,0.18371830880641937
0.36147755550494354,0.6188494128140329,0.7741935483870968,0.24242424242424243,0.36923076923076925,0.5381165919282511,0.16941207647323608
0.49449556938691186,0.6500862564692351,0.8085106382978723,0.38578680203045684,0.5223367697594502,0.6631762652705061,0.21300092339515686
0.48420919354658787,0.6842268168874581,0.9512195121951219,0.3696682464454976,0.5324232081911263,0.7235621521335807,0.19211843609809875
0.5101696188772472,0.6516834229600187,0.8571428571428571,0.3696682464454976,0.5165562913907285,0.6782608695652174,0.2065265029668808
0.5497768574591395,0.6774771649901723,0.8817204301075269,0.39805825242718446,0.5484949832775919,0.7093425605536332,0.2060859501361847
0.5406925436025039,0.6978643216080402,0.8875,0.3380952380952381,0.4896551724137931,0.6698113207547169,0.18355844914913177
0.5038295855167183,0.6637272192827748,0.9,0.38207547169811323,0.5364238410596026,0.708041958041958,0.20528437197208405
0.4756553915673354,0.687733461862875,0.8604651162790697,0.357487922705314,0.5051194539249146,0.6715063520871143,0.19716039299964905
0.4051939417265878,0.6469575200918486,0.8333333333333334,0.3299492385786802,0.4727272727272727,0.6385068762278978,0.1908024400472641
0.45073807763834517,0.6447627243668552,0.8313253012048193,0.323943661971831,0.46621621621621623,0.6330275229357798,0.19697323441505432
0.5278419654063996,0.7172836449176674,0.9024390243902439,0.37,0.524822695035461,0.7007575757575758,0.18578283488750458
