number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
48,0.41154798045628593,2026-03-01 15:31:02.443835,2026-03-01 15:31:03.057686,0 days 00:00:00.613851,0.8300295282705031,0.013107684869077723,11,77,258,162,5.4628077203318126e-05,0.004152453341754333,0.9544306726147472,COMPLETE
49,0.40654183541818434,2026-03-01 15:31:03.058687,2026-03-01 15:31:03.858744,0 days 00:00:00.800057,0.6638921732182886,0.027023126190714775,8,100,444,53,0.0011679356912940783,0.011415706375733149,0.6923545999675519,COMPLETE
50,0.42562627936254777,2026-03-01 15:31:03.859745,2026-03-01 15:31:04.179094,0 days 00:00:00.319349,0.8803553179428978,0.07489649630975952,1,152,364,143,1.1755770560414569e-05,0.002384549675513559,0.7590055391421855,COMPLETE
51,0.4035684420054365,2026-03-01 15:31:04.180096,2026-03-01 15:31:04.654761,0 days 00:00:00.474665,0.9120331063064226,0.07055275698433607,-1,152,358,134,7.064574361902091e-06,0.0021951305509808334,0.776465180969528,COMPLETE
52,0.4286966927453677,2026-03-01 15:31:04.655764,2026-03-01 15:31:04.954094,0 days 00:00:00.298330,0.8675895853007553,0.0823810416595733,1,166,288,108,1.023990707943145e-05,0.0014799331283343751,0.771374783352428,COMPLETE
53,0.4240694197735076,2026-03-01 15:31:04.955097,2026-03-01 15:31:05.230130,0 days 00:00:00.275033,0.8760139087847869,0.08423386870786423,1,168,244,146,2.0437389392484448e-05,0.0013229710346263144,0.7529576578909397,COMPLETE
54,0.4313311875811471,2026-03-01 15:31:05.231131,2026-03-01 15:31:05.506935,0 days 00:00:00.275804,0.8769191409008772,0.13383652751626823,1,166,201,151,1.4318668338967284e-05,0.0012677085328873313,0.7399296108449724,COMPLETE
55,0.4288223451872969,2026-03-01 15:31:05.508938,2026-03-01 15:31:05.753709,0 days 00:00:00.244771,0.8811902297630007,0.19792642765375842,1,171,218,150,9.744587872828905e-06,0.001146232060338275,0.7492272993300662,COMPLETE
56,0.4305052167206174,2026-03-01 15:31:05.754710,2026-03-01 15:31:05.997068,0 days 00:00:00.242358,0.8761245706647983,0.19964852013169015,1,169,217,150,7.2917928199430065e-06,0.0013771544071616891,0.7441515326972272,COMPLETE
57,0.4280265389332111,2026-03-01 15:31:05.998070,2026-03-01 15:31:06.260914,0 days 00:00:00.262844,0.875427361216954,0.1860641379686879,1,171,247,149,1.6703104963081032e-05,0.0012700491946123263,0.7512409620313609,COMPLETE
58,0.39374019713434605,2026-03-01 15:31:06.261916,2026-03-01 15:31:06.608896,0 days 00:00:00.346980,0.885752764947037,0.19249121126456203,0,185,225,161,6.827954298675256e-06,0.0010118436294922135,0.7328633430973847,COMPLETE
59,0.42292838618708267,2026-03-01 15:31:06.609898,2026-03-01 15:31:06.847733,0 days 00:00:00.237835,0.9260804446910308,0.1371124203314104,1,188,209,176,3.2926980549263963e-06,0.0013686237898963747,0.7569072960468198,COMPLETE
